# t client_1 client_2 node_7_network node_5_network node_2_network node_0_cpu node_1_cpu node_4_cpu node_6_network node_3_io node_6_io node_2_io node_4_io node_5_cpu node_5_io node_6_cpu node_7_cpu node_4_network node_7_io node_3_network node_0_io node_2_cpu node_3_cpu node_1_io node_0_network node_1_network  cpu_max cpu_min cpu_avg io_max io_min io_avg net_max net_min net_avg
0.1 46760.0 45870.0 0.00067 0.000672 0.000672 0.0 1.0 0.999311 0.000677 0.0 0.0 0.0 0.0 1.0 0.0 0.999998 0.997311 0.000669 0.0 0.000672 0.0 1.0 1.0 0.0 0.0 0.00067 1.0 0.997311 0.999517142857 0.0 0.0 0.0 0.000677 0.000669 0.000671714285714 
2.1 46090.0 47130.0 0.000657 0.000665 0.000666 0.0 1.0 1.0 0.000667 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.988313 0.000666 0.0 0.000666 0.0 1.0 0.998497 0.0 0.0 0.000666 1.0 0.988313 0.998115714286 0.0 0.0 0.0 0.000667 0.000657 0.000664714285714 
4.1 45870.0 46360.0 0.000666 0.000666 0.000641 0.0 1.0 0.977317 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 1.0 1.0 0.00065 0.0 0.000653 0.0 0.960308 0.97944 0.0 0.0 0.000667 1.0 0.960308 0.988152142857 0.0 0.0 0.0 0.000667 0.000641 0.000658428571429 
6.1 46480.0 46680.0 0.000667 0.000666 0.000667 0.0 1.0 0.9955 0.000663 0.0 0.0 0.0 0.0 1.0 0.0 1.0 1.0 0.000661 0.0 0.000653 0.0 1.0 0.98006 0.0 0.0 0.000666 1.0 0.98006 0.996508571429 0.0 0.0 0.0 0.000667 0.000653 0.000663285714286 
8.1 46520.0 46200.0 0.000664 0.00067 0.000666 0.0 1.0 1.0 0.000635 0.0 0.0 0.0 0.0 0.998938 0.0 0.960497 1.0 0.000666 0.0 0.000666 0.0 1.0 1.0 0.0 0.0 0.000667 1.0 0.960497 0.994205 0.0 0.0 0.0 0.00067 0.000635 0.000662 
10.1 45760.0 46410.0 0.000667 0.000667 0.000647 0.0 1.0 0.964999 0.000667 0.0 0.0 0.0 0.0 1.0 0.0 1.0 1.0 0.000648 0.0 0.000669 0.0 0.966558 1.0 0.0 0.0 0.000666 1.0 0.964999 0.990222428571 0.0 0.0 0.0 0.000669 0.000647 0.000661571428571 
12.1 46640.0 46130.0 0.000666 0.000666 0.000666 0.0 1.0 1.0 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.995432 0.000667 0.0 0.00065 0.0 1.0 0.972002 0.0 0.0 0.000665 1.0 0.972002 0.995347714286 0.0 0.0 0.0 0.000667 0.00065 0.000663714285714 
14.1 45990.0 46690.0 0.000666 0.000667 0.000666 0.0 1.0 0.988186 0.000649 0.0 0.0 0.0 0.0 1.0 0.0 0.964197 0.996805 0.000655 0.0 0.000666 0.0 1.0 1.0 0.0 0.0 0.000666 1.0 0.964197 0.992741142857 0.0 0.0 0.0 0.000667 0.000649 0.000662142857143 
16.1 46600.0 45470.0 0.000663 0.000627 0.00067 0.0 0.979995 1.0 0.000667 0.0 0.0 0.0 0.0 0.935436 0.0 1.0 0.992564 0.000666 0.0 0.000666 0.0 1.0 1.0 0.0 0.0 0.000651 1.0 0.935436 0.986856428571 0.0 0.0 0.0 0.00067 0.000627 0.000658571428571 
18.1 46760.0 46080.0 0.000666 0.000667 0.000661 0.0 1.0 0.979502 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 1.0 1.0 0.00065 0.0 0.000658 0.0 0.997497 0.985247 0.0 0.0 0.000666 1.0 0.979502 0.994606571429 0.0 0.0 0.0 0.000667 0.00065 0.000662 
