# t client_1 client_2 node_7_network node_5_network node_2_network node_0_cpu node_1_cpu node_4_cpu node_6_network node_3_io node_6_io node_2_io node_4_io node_5_cpu node_5_io node_6_cpu node_7_cpu node_4_network node_7_io node_3_network node_0_io node_2_cpu node_3_cpu node_1_io node_0_network node_1_network  cpu_max cpu_min cpu_avg io_max io_min io_avg net_max net_min net_avg
0.1 46750.0 45950.0 0.000672 0.000672 0.000672 0.0 1.0 1.0 0.000669 0.0 0.0 0.0 0.0 1.0 0.0 0.998186 1.0 0.000672 0.0 0.000672 0.0 1.0 1.0 0.0 0.0 0.000672 1.0 0.998186 0.999740857143 0.0 0.0 0.0 0.000672 0.000669 0.000671571428571 
2.1 46670.0 45810.0 0.000667 0.000635 0.000666 0.0 1.0 1.0 0.000667 0.0 0.0 0.0 0.0 0.953187 0.0 1.0 1.0 0.000666 0.0 0.000649 0.0 1.0 0.978128 0.0 0.0 0.000666 1.0 0.953187 0.990187857143 0.0 0.0 0.0 0.000667 0.000635 0.000659428571429 
4.1 45450.0 46140.0 0.000647 0.000656 0.000643 0.0 1.0 1.0 0.000666 0.0 0.0 0.0 0.0 0.980936 0.0 1.0 0.975688 0.000667 0.0 0.000639 0.0 0.957432 0.959191 0.0 0.0 0.000667 1.0 0.957432 0.981892428571 0.0 0.0 0.0 0.000667 0.000639 0.000655 
6.1 47330.0 44940.0 0.00066 0.000662 0.000652 0.0 0.979123 1.0 0.000657 0.0 0.0 0.0 0.0 0.995813 0.0 0.991312 0.984495 0.000667 0.0 0.000667 0.0 0.974809 1.0 0.0 0.0 0.000649 1.0 0.974809 0.989364571429 0.0 0.0 0.0 0.000667 0.000649 0.000659142857143 
8.1 46350.0 46470.0 0.000667 0.000667 0.000638 0.0 1.0 1.0 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 1.0 1.0 0.000666 0.0 0.000666 0.0 0.959126 1.0 0.0 0.0 0.000666 1.0 0.959126 0.994160857143 0.0 0.0 0.0 0.000667 0.000638 0.000662285714286 
10.1 45300.0 46450.0 0.000667 0.000636 0.000638 0.0 0.988124 1.0 0.000662 0.0 0.0 0.0 0.0 0.955433 0.0 1.0 1.0 0.000667 0.0 0.00065 0.0 0.961999 0.970065 0.0 0.0 0.000659 1.0 0.955433 0.982231571429 0.0 0.0 0.0 0.000667 0.000636 0.000654142857143 
12.1 45660.0 46830.0 0.000666 0.000656 0.000666 0.0 0.972436 0.99944 0.000661 0.0 0.0 0.0 0.0 0.984501 0.0 0.979942 1.0 0.000667 0.0 0.000666 0.0 1.0 1.0 0.0 0.0 0.000646 1.0 0.972436 0.990902714286 0.0 0.0 0.0 0.000667 0.000646 0.000661142857143 
14.1 46490.0 45740.0 0.000666 0.000666 0.000634 0.0 1.0 1.0 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 1.0 1.0 0.000666 0.0 0.00066 0.0 0.945255 0.984878 0.0 0.0 0.000666 1.0 0.945255 0.990019 0.0 0.0 0.0 0.000666 0.000634 0.000660571428571 
16.1 46780.0 46090.0 0.000666 0.000661 0.000662 0.0 1.0 0.989122 0.000667 0.0 0.0 0.0 0.0 0.990439 0.0 1.0 1.0 0.000664 0.0 0.000667 0.0 0.992687 1.0 0.0 0.0 0.000666 1.0 0.989122 0.996035428571 0.0 0.0 0.0 0.000667 0.000661 0.000664714285714 
18.1 45810.0 47020.0 0.000658 0.000664 0.000666 0.0 1.0 0.978438 0.00067 0.0 0.0 0.0 0.0 0.999619 0.0 1.0 0.98762 0.000652 0.0 0.000666 0.0 1.0 1.0 0.0 0.0 0.000668 1.0 0.978438 0.995096714286 0.0 0.0 0.0 0.00067 0.000652 0.000663428571429 
20.1 46540.0 46000.0 0.000667 0.000661 0.000667 0.0 0.947864 1.0 0.000666 0.0 0.0 0.0 0.0 0.990618 0.0 1.0 1.0 0.000667 0.0 0.000666 0.0 1.0 1.0 0.0 0.0 0.000629 1.0 0.947864 0.991211714286 0.0 0.0 0.0 0.000667 0.000629 0.000660428571429 
22.1 46620.0 46330.0 0.000644 0.000667 0.000667 0.0 1.0 1.0 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.966459 0.000663 0.0 0.000666 0.0 1.0 1.0 0.0 0.0 0.000666 1.0 0.966459 0.995208428571 0.0 0.0 0.0 0.000667 0.000644 0.000662714285714 
24.1 45600.0 46610.0 0.000666 0.000659 0.000641 0.0 0.976376 0.98994 0.000666 0.0 0.0 0.0 0.0 0.990684 0.0 1.0 0.997061 0.000659 0.0 0.000666 0.0 0.958687 1.0 0.0 0.0 0.000647 1.0 0.958687 0.987535428571 0.0 0.0 0.0 0.000666 0.000641 0.000657714285714 
26.1 46350.0 46170.0 0.000649 0.000666 0.000661 0.0 1.0 0.977309 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.974198 0.000655 0.0 0.000666 0.0 0.991814 1.0 0.0 0.0 0.000667 1.0 0.974198 0.991903 0.0 0.0 0.0 0.000667 0.000649 0.000661428571429 
28.1 46310.0 46370.0 0.000666 0.000667 0.000665 0.0 0.957373 1.0 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 1.0 1.0 0.000666 0.0 0.000669 0.0 0.997811 1.0 0.0 0.0 0.000638 1.0 0.957373 0.993597714286 0.0 0.0 0.0 0.000669 0.000638 0.000662428571429 
30.1 46270.0 46270.0 0.000666 0.000669 0.000658 0.0 0.989748 1.0 0.000653 0.0 0.0 0.0 0.0 1.0 0.0 0.986565 1.0 0.000666 0.0 0.000644 0.0 0.99244 0.964939 0.0 0.0 0.000659 1.0 0.964939 0.990527428571 0.0 0.0 0.0 0.000669 0.000644 0.000659285714286 
32.1 46470.0 46800.0 0.000666 0.000667 0.000666 0.0 1.0 0.997121 0.000667 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.999938 0.000665 0.0 0.000666 0.0 1.0 1.0 0.0 0.0 0.00067 1.0 0.997121 0.999579857143 0.0 0.0 0.0 0.00067 0.000665 0.000666714285714 
34.1 46810.0 46070.0 0.00066 0.000666 0.000666 0.0 0.99081 1.0 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 0.995247 0.992993 0.000667 0.0 0.000652 0.0 1.0 0.984476 0.0 0.0 0.000664 1.0 0.984476 0.994789428571 0.0 0.0 0.0 0.000667 0.000652 0.000663 
36.1 46000.0 46870.0 0.000666 0.000657 0.000667 0.0 1.0 1.0 0.000648 0.0 0.0 0.0 0.0 0.979624 0.0 0.984308 1.0 0.000667 0.0 0.000667 0.0 1.0 1.0 0.0 0.0 0.000666 1.0 0.979624 0.994847428571 0.0 0.0 0.0 0.000667 0.000648 0.000662571428571 
38.1 46620.0 46450.0 0.000666 0.000666 0.000666 0.0 0.996686 1.0 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 1.0 1.0 0.000666 0.0 0.000665 0.0 1.0 0.989917 0.0 0.0 0.000664 1.0 0.989917 0.998086142857 0.0 0.0 0.0 0.000666 0.000664 0.000665571428571 
40.1 47010.0 46150.0 0.000666 0.000667 0.000666 0.0 1.0 0.995874 0.000667 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.995037 0.000664 0.0 0.000667 0.0 1.0 1.0 0.0 0.0 0.000667 1.0 0.995037 0.998701571429 0.0 0.0 0.0 0.000667 0.000664 0.000666285714286 
42.1 46580.0 45910.0 0.000666 0.00066 0.000652 0.0 0.980566 1.0 0.000666 0.0 0.0 0.0 0.0 0.993811 0.0 1.0 1.0 0.000667 0.0 0.000657 0.0 0.97294 0.986 0.0 0.0 0.000651 1.0 0.97294 0.990473857143 0.0 0.0 0.0 0.000667 0.000651 0.000659857142857 
44.1 46440.0 46120.0 0.000658 0.000657 0.000666 0.0 0.979061 1.0 0.000667 0.0 0.0 0.0 0.0 0.985688 0.0 1.0 0.981758 0.000666 0.0 0.000665 0.0 1.0 0.999565 0.0 0.0 0.000651 1.0 0.979061 0.992296 0.0 0.0 0.0 0.000667 0.000651 0.000661428571429 
46.1 45870.0 46170.0 0.00066 0.000666 0.000648 0.0 1.0 0.982866 0.000643 0.0 0.0 0.0 0.0 1.0 0.0 0.967257 0.990808 0.000654 0.0 0.000666 0.0 0.968183 1.0 0.0 0.0 0.000667 1.0 0.967257 0.987016285714 0.0 0.0 0.0 0.000667 0.000643 0.000657714285714 
48.1 46630.0 45490.0 0.000666 0.000664 0.000666 0.0 0.950816 0.97032 0.000667 0.0 0.0 0.0 0.0 0.996063 0.0 1.0 1.0 0.000642 0.0 0.000665 0.0 1.0 0.996438 0.0 0.0 0.000635 1.0 0.950816 0.987662428571 0.0 0.0 0.0 0.000667 0.000635 0.000657857142857 
50.1 46730.0 46070.0 0.000644 0.000669 0.000667 0.0 1.0 1.0 0.000665 0.0 0.0 0.0 0.0 0.998873 0.0 1.0 0.966437 0.000666 0.0 0.000667 0.0 1.0 1.0 0.0 0.0 0.000667 1.0 0.966437 0.995044285714 0.0 0.0 0.0 0.000669 0.000644 0.000663571428571 
52.1 47210.0 45850.0 0.000666 0.000649 0.000667 0.0 0.994996 1.0 0.000666 0.0 0.0 0.0 0.0 0.979935 0.0 1.0 1.0 0.000667 0.0 0.000665 0.0 1.0 1.0 0.0 0.0 0.000663 1.0 0.979935 0.996418714286 0.0 0.0 0.0 0.000667 0.000649 0.000663285714286 
54.1 46680.0 45430.0 0.000664 0.000666 0.000634 0.0 0.950618 1.0 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.998745 0.000666 0.0 0.000666 0.0 0.953873 1.0 0.0 0.0 0.00063 1.0 0.950618 0.986176571429 0.0 0.0 0.0 0.000666 0.00063 0.000656 
56.1 45780.0 46460.0 0.000666 0.000655 0.000666 0.0 1.0 0.984184 0.000667 0.0 0.0 0.0 0.0 0.983683 0.0 1.0 1.0 0.000655 0.0 0.000642 0.0 1.0 0.956875 0.0 0.0 0.000667 1.0 0.956875 0.989248857143 0.0 0.0 0.0 0.000667 0.000642 0.000659714285714 
58.1 45090.0 46890.0 0.000666 0.000667 0.000666 0.0 1.0 0.937867 0.000653 0.0 0.0 0.0 0.0 1.0 0.0 0.989435 1.0 0.000624 0.0 0.000647 0.0 1.0 0.96668 0.0 0.0 0.000666 1.0 0.937867 0.984854571429 0.0 0.0 0.0 0.000667 0.000624 0.000655571428571 
60.1 4100.0 20560.0 0.01767 0.018946 0.017722 0.0 0.32574 0.28765 0.022665 0.990597 0.992098 0.989598 0.980224 0.293527 0.983973 0.251902 0.264901 0.020206 0.984848 0.022689 0.0 0.2487 0.287777 0.988847 0.0 0.020221 0.32574 0.2487 0.280028142857 0.992098 0.980224 0.987169285714 0.022689 0.01767 0.020017 
62.1 2030.0 0.0 0.020014 0.021891 0.020017 0.0 0.022812 0.032437 0.016883 0.589028 0.676654 1.0 1.0 0.025625 1.0 0.014437 0.023625 0.020645 1.0 0.015635 0.0 0.02475 0.016875 1.0 0.0 0.016265 0.032437 0.014437 0.0229372857143 1.0 0.589028 0.895097428571 0.021891 0.015635 0.0187642857143 
64.1 2240.0 2900.0 0.021917 0.021905 0.020038 0.0 0.060125 0.0515 0.020033 1.0 1.0 1.0 1.0 0.0535 1.0 0.051 0.064813 0.01941 1.0 0.021913 0.0 0.05825 0.059063 1.0 0.0 0.018793 0.064813 0.051 0.056893 1.0 1.0 1.0 0.021917 0.018793 0.0205727142857 
66.1 2130.0 2260.0 0.021283 0.018788 0.019408 0.0 0.04825 0.047938 0.015652 0.688754 0.999749 1.0 0.989674 0.046438 1.0 0.0425 0.05125 0.021281 1.0 0.021904 0.0 0.0525 0.044875 1.0 0.0 0.019406 0.0525 0.0425 0.0476787142857 1.0 0.688754 0.954025285714 0.021904 0.015652 0.0196745714286 
68.1 2140.0 2340.0 0.01878 0.020655 0.024405 0.0 0.051875 0.052063 0.023156 1.0 1.0 1.0 1.0 0.049625 1.0 0.048813 0.046 0.02066 0.6815 0.026286 0.0 0.047875 0.056438 1.0 0.0 0.017534 0.056438 0.046 0.0503841428571 1.0 0.6815 0.9545 0.026286 0.017534 0.0216394285714 
70.1 2100.0 1050.0 0.023781 0.016904 0.021274 0.0 0.03275 0.066813 0.023763 0.556627 1.0 1.0 1.0 0.034688 1.0 0.021688 0.029313 0.023146 1.0 0.013147 0.0 0.025688 0.034063 1.0 0.0 0.024395 0.066813 0.021688 0.0350004285714 1.0 0.556627 0.936661 0.024395 0.013147 0.0209157142857 
