# t client_1 client_2 node_7_network node_5_network node_2_network node_0_cpu node_1_cpu node_4_cpu node_6_network node_3_io node_6_io node_2_io node_4_io node_5_cpu node_5_io node_6_cpu node_7_cpu node_4_network node_7_io node_3_network node_0_io node_2_cpu node_3_cpu node_1_io node_0_network node_1_network  cpu_max cpu_min cpu_avg io_max io_min io_avg net_max net_min net_avg
0.1 47020.0 45560.0 0.000672 0.000667 0.000672 0.0 0.999998 1.0 0.000672 0.0 0.0 0.0 0.0 0.995124 0.0 1.0 1.0 0.000672 0.0 0.000672 0.0 1.0 1.0 0.0 0.0 0.000677 1.0 0.995124 0.999303142857 0.0 0.0 0.0 0.000677 0.000667 0.000672 
2.1 46450.0 46290.0 0.00066 0.000667 0.00067 0.0 1.0 1.0 0.000667 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.995248 0.000666 0.0 0.00064 0.0 1.0 0.958246 0.0 0.0 0.000667 1.0 0.958246 0.993356285714 0.0 0.0 0.0 0.00067 0.00064 0.000662428571429 
4.1 45570.0 45870.0 0.000665 0.000666 0.000656 0.0 0.952124 1.0 0.000624 0.0 0.0 0.0 0.0 1.0 0.0 0.937186 0.992688 0.000667 0.0 0.000666 0.0 0.985754 1.0 0.0 0.0 0.000639 1.0 0.937186 0.981107428571 0.0 0.0 0.0 0.000667 0.000624 0.000654714285714 
6.1 46550.0 45150.0 0.000655 0.000666 0.000646 0.0 0.97906 1.0 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.97493 0.000666 0.0 0.000644 0.0 0.965682 0.967747 0.0 0.0 0.000655 1.0 0.965682 0.983917 0.0 0.0 0.0 0.000666 0.000644 0.000656857142857 
8.1 46070.0 46330.0 0.000666 0.000658 0.000644 0.0 0.966687 1.0 0.000666 0.0 0.0 0.0 0.0 0.984691 0.0 1.0 1.0 0.000666 0.0 0.000667 0.0 0.974388 1.0 0.0 0.0 0.000645 1.0 0.966687 0.989395142857 0.0 0.0 0.0 0.000667 0.000644 0.000658857142857 
10.1 46150.0 46880.0 0.000667 0.00066 0.000667 0.0 1.0 0.994628 0.000666 0.0 0.0 0.0 0.0 0.987002 0.0 1.0 1.0 0.00066 0.0 0.000657 0.0 1.0 0.991062 0.0 0.0 0.000666 1.0 0.987002 0.996098857143 0.0 0.0 0.0 0.000667 0.000657 0.000663285714286 
12.1 46890.0 46250.0 0.000667 0.000665 0.000669 0.0 0.996811 1.0 0.000665 0.0 0.0 0.0 0.0 1.0 0.0 0.993998 1.0 0.000666 0.0 0.000659 0.0 1.0 0.991375 0.0 0.0 0.000665 1.0 0.991375 0.997454857143 0.0 0.0 0.0 0.000669 0.000659 0.000665142857143 
14.1 46770.0 46430.0 0.000661 0.000667 0.000666 0.0 1.0 1.0 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 0.999562 0.993814 0.000665 0.0 0.00067 0.0 1.0 1.0 0.0 0.0 0.000666 1.0 0.993814 0.999053714286 0.0 0.0 0.0 0.00067 0.000661 0.000665857142857 
16.1 46090.0 46260.0 0.000666 0.000667 0.000634 0.0 1.0 1.0 0.000668 0.0 0.0 0.0 0.0 1.0 0.0 1.0 1.0 0.000666 0.0 0.000651 0.0 0.951816 0.977999 0.0 0.0 0.000672 1.0 0.951816 0.989973571429 0.0 0.0 0.0 0.000672 0.000634 0.000660571428571 
18.1 46760.0 45600.0 0.000652 0.000631 0.000669 0.0 1.0 1.0 0.000667 0.0 0.0 0.0 0.0 0.946934 0.0 1.0 0.982373 0.000664 0.0 0.000666 0.0 1.0 0.999185 0.0 0.0 0.000667 1.0 0.946934 0.989784571429 0.0 0.0 0.0 0.000669 0.000631 0.000659428571429 
