# t client_1 client_2 node_7_network node_5_network node_2_network node_0_cpu node_1_cpu node_4_cpu node_6_network node_3_io node_6_io node_2_io node_4_io node_5_cpu node_5_io node_6_cpu node_7_cpu node_4_network node_7_io node_3_network node_0_io node_2_cpu node_3_cpu node_1_io node_0_network node_1_network  cpu_max cpu_min cpu_avg io_max io_min io_avg net_max net_min net_avg
0.1 46980.0 45460.0 0.000672 0.000662 0.000672 0.0 0.999998 1.0 0.000672 0.0 0.0 0.0 0.0 0.984873 0.0 1.0 1.0 0.000672 0.0 0.000672 0.0 1.0 1.0 0.0 0.0 0.000677 1.0 0.984873 0.997838714286 0.0 0.0 0.0 0.000677 0.000662 0.000671285714286 
2.1 46260.0 46560.0 0.000666 0.000663 0.000656 0.0 1.0 1.0 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 1.0 1.0 0.000669 0.0 0.000652 0.0 0.986004 0.975999 0.0 0.0 0.000666 1.0 0.975999 0.994571857143 0.0 0.0 0.0 0.000669 0.000652 0.000662571428571 
4.1 46070.0 46450.0 0.00066 0.000666 0.000666 0.0 0.978003 0.970247 0.00067 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.995308 0.000648 0.0 0.000667 0.0 1.0 1.0 0.0 0.0 0.000648 1.0 0.970247 0.991936857143 0.0 0.0 0.0 0.00067 0.000648 0.000660714285714 
6.1 46510.0 45990.0 0.000667 0.000666 0.000665 0.0 1.0 0.967183 0.00065 0.0 0.0 0.0 0.0 1.0 0.0 0.977745 1.0 0.000639 0.0 0.000669 0.0 0.994745 0.999061 0.0 0.0 0.000666 1.0 0.967183 0.991247714286 0.0 0.0 0.0 0.000669 0.000639 0.000660285714286 
8.1 46290.0 46470.0 0.000666 0.000666 0.000646 0.0 0.989748 0.997811 0.000649 0.0 0.0 0.0 0.0 1.0 0.0 0.975431 1.0 0.000662 0.0 0.000667 0.0 0.976703 1.0 0.0 0.0 0.00066 1.0 0.975431 0.991384714286 0.0 0.0 0.0 0.000667 0.000646 0.000659428571429 
10.1 46240.0 45880.0 0.000666 0.000667 0.000663 0.0 0.973061 0.970381 0.000653 0.0 0.0 0.0 0.0 1.0 0.0 0.971622 1.0 0.000642 0.0 0.000663 0.0 1.0 0.99674 0.0 0.0 0.000657 1.0 0.970381 0.987400571429 0.0 0.0 0.0 0.000667 0.000642 0.000658714285714 
12.1 46130.0 46330.0 0.000666 0.000667 0.000667 0.0 1.0 1.0 0.000667 0.0 0.0 0.0 0.0 1.0 0.0 1.0 1.0 0.000667 0.0 0.000616 0.0 1.0 0.930939 0.0 0.0 0.000667 1.0 0.930939 0.990134142857 0.0 0.0 0.0 0.000667 0.000616 0.000659571428571 
14.1 46510.0 45870.0 0.000666 0.000654 0.000636 0.0 1.0 0.996126 0.000656 0.0 0.0 0.0 0.0 0.981677 0.0 0.990314 1.0 0.000667 0.0 0.000666 0.0 0.960826 1.0 0.0 0.0 0.000666 1.0 0.960826 0.989849 0.0 0.0 0.0 0.000667 0.000636 0.000658714285714 
16.1 46090.0 46920.0 0.000666 0.000666 0.000655 0.0 0.999143 0.993309 0.000667 0.0 0.0 0.0 0.0 1.0 0.0 1.0 1.0 0.000664 0.0 0.000664 0.0 0.982325 0.996373 0.0 0.0 0.000656 1.0 0.982325 0.995878571429 0.0 0.0 0.0 0.000667 0.000655 0.000662571428571 
18.1 45750.0 46460.0 0.000666 0.000648 0.000656 0.0 1.0 0.985941 0.000666 0.0 0.0 0.0 0.0 0.966504 0.0 1.0 1.0 0.000655 0.0 0.000652 0.0 0.98907 0.9785 0.0 0.0 0.000668 1.0 0.966504 0.988573571429 0.0 0.0 0.0 0.000668 0.000648 0.000658714285714 
