# t client_1 client_2 node_7_network node_5_network node_2_network node_0_cpu node_1_cpu node_4_cpu node_6_network node_3_io node_6_io node_2_io node_4_io node_5_cpu node_5_io node_6_cpu node_7_cpu node_4_network node_7_io node_3_network node_0_io node_2_cpu node_3_cpu node_1_io node_0_network node_1_network  cpu_max cpu_min cpu_avg io_max io_min io_avg net_max net_min net_avg
0.1 46560.0 45870.0 0.000653 0.000672 0.000672 0.0 0.993749 1.0 0.000672 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.977999 0.000672 0.0 0.000672 0.0 1.0 1.0 0.0 0.0 0.000662 1.0 0.977999 0.995964 0.0 0.0 0.0 0.000672 0.000653 0.000667857142857 
2.1 46160.0 46270.0 0.000653 0.000649 0.000666 0.0 1.0 0.984441 0.000664 0.0 0.0 0.0 0.0 0.968564 0.0 1.0 0.980439 0.00066 0.0 0.000666 0.0 1.0 1.0 0.0 0.0 0.000666 1.0 0.968564 0.990492 0.0 0.0 0.0 0.000666 0.000649 0.000660571428571 
4.1 46330.0 46430.0 0.000653 0.000666 0.000658 0.0 0.993309 1.0 0.000667 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.978998 0.000666 0.0 0.000667 0.0 0.986564 1.0 0.0 0.0 0.000655 1.0 0.978998 0.994124428571 0.0 0.0 0.0 0.000667 0.000653 0.000661714285714 
6.1 46050.0 46340.0 0.000656 0.00065 0.000667 0.0 1.0 0.976623 0.000663 0.0 0.0 0.0 0.0 0.97544 0.0 0.991309 0.989555 0.000651 0.0 0.000666 0.0 1.0 1.0 0.0 0.0 0.000667 1.0 0.97544 0.990418142857 0.0 0.0 0.0 0.000667 0.00065 0.00066 
8.1 46160.0 46790.0 0.000666 0.000667 0.000669 0.0 0.990939 1.0 0.000647 0.0 0.0 0.0 0.0 1.0 0.0 0.977129 1.0 0.000665 0.0 0.000667 0.0 0.996746 1.0 0.0 0.0 0.00066 1.0 0.977129 0.994973428571 0.0 0.0 0.0 0.000669 0.000647 0.000663 
10.1 46090.0 46210.0 0.000655 0.000664 0.000656 0.0 0.95769 1.0 0.000667 0.0 0.0 0.0 0.0 0.999061 0.0 1.0 0.989496 0.000667 0.0 0.000668 0.0 0.980619 1.0 0.0 0.0 0.000639 1.0 0.95769 0.989552285714 0.0 0.0 0.0 0.000668 0.000639 0.000659428571429 
12.1 46020.0 46000.0 0.00066 0.000644 0.000666 0.0 0.954499 1.0 0.000666 0.0 0.0 0.0 0.0 0.968688 0.0 1.0 0.983873 0.000666 0.0 0.000667 0.0 1.0 1.0 0.0 0.0 0.000642 1.0 0.954499 0.986722857143 0.0 0.0 0.0 0.000667 0.000642 0.000658714285714 
14.1 45590.0 45660.0 0.000659 0.000667 0.000667 0.0 0.948561 0.964928 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.983939 0.000641 0.0 0.00064 0.0 1.0 0.955499 0.0 0.0 0.000638 1.0 0.948561 0.978989571429 0.0 0.0 0.0 0.000667 0.000638 0.000654 
16.1 46360.0 46450.0 0.000639 0.000666 0.000666 0.0 1.0 1.0 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.961056 0.000668 0.0 0.000666 0.0 1.0 1.0 0.0 0.0 0.000666 1.0 0.961056 0.994436571429 0.0 0.0 0.0 0.000668 0.000639 0.000662428571429 
18.1 46110.0 45940.0 0.000658 0.000643 0.00065 0.0 1.0 1.0 0.000667 0.0 0.0 0.0 0.0 0.960546 0.0 1.0 0.986568 0.000666 0.0 0.000666 0.0 0.967511 1.0 0.0 0.0 0.000667 1.0 0.960546 0.987803571429 0.0 0.0 0.0 0.000667 0.000643 0.000659571428571 
20.1 46880.0 45760.0 0.000665 0.000666 0.000666 0.0 0.985682 0.966189 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.996744 0.000642 0.0 0.000667 0.0 1.0 1.0 0.0 0.0 0.000657 1.0 0.966189 0.992659285714 0.0 0.0 0.0 0.000667 0.000642 0.000661285714286 
22.1 45590.0 46140.0 0.00064 0.000649 0.000666 0.0 0.941204 1.0 0.000666 0.0 0.0 0.0 0.0 0.974254 0.0 1.0 0.961314 0.000667 0.0 0.000666 0.0 1.0 1.0 0.0 0.0 0.000619 1.0 0.941204 0.982396 0.0 0.0 0.0 0.000667 0.000619 0.000653285714286 
24.1 45270.0 46810.0 0.000611 0.000659 0.000663 0.0 1.0 1.0 0.000667 0.0 0.0 0.0 0.0 0.982537 0.0 1.0 0.923938 0.000666 0.0 0.000666 0.0 1.0 1.0 0.0 0.0 0.000667 1.0 0.923938 0.986639285714 0.0 0.0 0.0 0.000667 0.000611 0.000657 
26.1 45920.0 45990.0 0.000631 0.000666 0.000667 0.0 1.0 0.942007 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.953125 0.000632 0.0 0.000667 0.0 1.0 1.0 0.0 0.0 0.000666 1.0 0.942007 0.985018857143 0.0 0.0 0.0 0.000667 0.000631 0.000656428571429 
28.1 47220.0 45510.0 0.000666 0.000666 0.000666 0.0 0.999749 0.99556 0.00064 0.0 0.0 0.0 0.0 1.0 0.0 0.962309 1.0 0.000664 0.0 0.000664 0.0 1.0 0.9945 0.0 0.0 0.000669 1.0 0.962309 0.993159714286 0.0 0.0 0.0 0.000669 0.00064 0.000662142857143 
30.1 46710.0 46500.0 0.000666 0.000662 0.000666 0.0 1.0 1.0 0.000666 0.0 0.0 0.0 0.0 0.993814 0.0 1.0 0.997057 0.000667 0.0 0.000666 0.0 1.0 1.0 0.0 0.0 0.000666 1.0 0.993814 0.998695857143 0.0 0.0 0.0 0.000667 0.000662 0.000665571428571 
32.1 46750.0 46570.0 0.000666 0.000666 0.000666 0.0 1.0 1.0 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 1.0 1.0 0.000666 0.0 0.000668 0.0 1.0 1.0 0.0 0.0 0.000666 1.0 1.0 1.0 0.0 0.0 0.0 0.000668 0.000666 0.000666285714286 
34.1 46580.0 46220.0 0.000666 0.000649 0.000655 0.0 1.0 0.997748 0.000666 0.0 0.0 0.0 0.0 0.977567 0.0 1.0 1.0 0.000664 0.0 0.000667 0.0 0.989495 0.996065 0.0 0.0 0.000666 1.0 0.977567 0.994410714286 0.0 0.0 0.0 0.000667 0.000649 0.000661857142857 
36.1 45160.0 46770.0 0.000647 0.000634 0.000666 0.0 1.0 0.960434 0.000667 0.0 0.0 0.0 0.0 0.957939 0.0 1.0 0.969993 0.00064 0.0 0.000666 0.0 1.0 1.0 0.0 0.0 0.00067 1.0 0.957939 0.984052285714 0.0 0.0 0.0 0.00067 0.000634 0.000655714285714 
38.1 45480.0 46200.0 0.000666 0.000654 0.000614 0.0 0.9735 1.0 0.00067 0.0 0.0 0.0 0.0 0.977379 0.0 1.0 1.0 0.000667 0.0 0.000667 0.0 0.924189 1.0 0.0 0.0 0.00064 1.0 0.924189 0.982152571429 0.0 0.0 0.0 0.00067 0.000614 0.000654 
40.1 46580.0 46680.0 0.000666 0.000666 0.000666 0.0 0.997063 1.0 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 1.0 1.0 0.000666 0.0 0.000666 0.0 1.0 1.0 0.0 0.0 0.000664 1.0 0.997063 0.999580428571 0.0 0.0 0.0 0.000666 0.000664 0.000665714285714 
42.1 46080.0 46480.0 0.000653 0.000658 0.000658 0.0 1.0 0.981938 0.000664 0.0 0.0 0.0 0.0 0.987812 0.0 0.999999 0.973312 0.000656 0.0 0.000666 0.0 0.992374 1.0 0.0 0.0 0.000666 1.0 0.973312 0.990776428571 0.0 0.0 0.0 0.000666 0.000653 0.000660142857143 
44.1 46550.0 46330.0 0.000666 0.000664 0.000667 0.0 0.992563 0.991706 0.00066 0.0 0.0 0.0 0.0 0.999999 0.0 0.990872 1.0 0.000662 0.0 0.000656 0.0 1.0 0.989624 0.0 0.0 0.000665 1.0 0.989624 0.994966285714 0.0 0.0 0.0 0.000667 0.000656 0.000662857142857 
46.1 46330.0 46850.0 0.000666 0.000667 0.000666 0.0 1.0 0.993871 0.000661 0.0 0.0 0.0 0.0 1.0 0.0 0.995313 1.0 0.000665 0.0 0.000667 0.0 1.0 1.0 0.0 0.0 0.000667 1.0 0.993871 0.998454857143 0.0 0.0 0.0 0.000667 0.000661 0.000665571428571 
48.1 47040.0 46250.0 0.000655 0.000665 0.000666 0.0 0.998812 1.0 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.985995 0.000667 0.0 0.000666 0.0 1.0 1.0 0.0 0.0 0.000657 1.0 0.985995 0.997829571429 0.0 0.0 0.0 0.000667 0.000655 0.000663142857143 
50.1 46080.0 45890.0 0.000667 0.000647 0.000643 0.0 1.0 0.972313 0.000659 0.0 0.0 0.0 0.0 0.971563 0.0 0.988253 1.0 0.000652 0.0 0.000666 0.0 0.965688 1.0 0.0 0.0 0.000667 1.0 0.965688 0.985402428571 0.0 0.0 0.0 0.000667 0.000643 0.000657285714286 
